"price","types","address","latitude","longitude","date","beds","baths","sq.","bath","reception","receptions","bed","TotalBeds","TotalBaths","TotalReceptions","FlatType"
865000,"2 bed flat for sale ","Pages Walk, London SE1",51.495738,-0.081208,2021-09-02,"2","2","840","0","0","0","0",2,2,0,"flat "
750000,"3 bed detached house for sale ","Park Road, Kenley CR8",51.320999,-0.108466,2021-09-02,"3","0",NA,"1","1","0","0",3,1,1,"detached house "
419950,"2 bed terraced house for sale ","Anthony Road, London SE25",51.387405,-0.071903,2021-09-02,"2","2",NA,"0","0","2","0",2,2,2,"terraced house "
1095000,"3 bed flat for sale ","Pages Walk, London SE1",51.495738,-0.081208,2021-09-02,"3","2","968","0","0","0","0",3,2,0,"flat "
849995,"4 bed semi-detached house for sale ","Inchmery Road, London SE6",51.440248,-0.013402,2021-09-02,"4","0",NA,"1","0","3","0",4,1,3,"semi-detached house "
3e+05,"2 bed flat for sale ","North Block, The Railstore, Kidman Close, Gidea Park, Romford RM2",51.584796,0.2138,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"flat "
625000,"2 bed flat for sale ","Holloway Road, London N7",51.550472,-0.109663,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"flat "
1450000,"3 bed flat for sale ","Netherhall Gardens, Hampstead, London NW3",51.552177,-0.177179,2021-09-02,"3","2",NA,"0","1","0","0",3,2,1,"flat "
1750000,"4 bed terraced house for sale ","Offord Road, London N1",51.543645,-0.111717,2021-09-02,"4","2",NA,"0","0","2","0",4,2,2,"terraced house "
465000,"2 bed flat for sale ","Purbrook Estate, Tower Bridge Road, London SE1",51.498665,-0.078751,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"flat "
525000,"2 bed flat for sale ","Hartington Road, London W4",51.481372,-0.274774,2021-09-02,"2","0","589","1","1","0","0",2,1,1,"flat "
550000,"3 bed flat for sale ","Chrisp Street, London E14",51.514668,-0.014592,2021-09-02,"3","2",NA,"0","1","0","0",3,2,1,"flat "
7e+05,"2 bed flat for sale ","Deveraux House, Duke Of Wellington Avenue, London SE18",51.4941,0.06686,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"flat "
1e+06,"3 bed end terrace house for sale ","Maple Grove, London W5",51.501308,-0.303982,2021-09-02,"3","2","1,167","0","0","2","0",3,2,2,"end terrace house "
670000,"5 bed property for sale ","Hawkhurst Way, New Malden KT3",51.396448,-0.269297,2021-09-02,"5","2",NA,"0","0","2","0",5,2,2,"property "
299995,"3 bed maisonette for sale ","Dorrit Mews, Edmonton N18",51.615413,-0.073343,2021-09-02,"3","0",NA,"1","1","0","0",3,1,1,"maisonette "
1175000,"3 bed flat for sale ","College Crescent, London NW3",51.545391,-0.175109,2021-09-02,"3","2",NA,"0","1","0","0",3,2,1,"flat "
385000,"2 bed flat for sale ","Charter Court, 65B Bridge Street, Pinner HA5",51.595293,-0.384438,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"flat "
1100000,"3 bed terraced house for sale ","Derwent, Derby Road, London E9",51.537427,-0.046631,2021-09-02,"3","2","872","0","1","0","0",3,2,1,"terraced house "
575000,"2 bed flat for sale ","South Lambeth Road, London SW8",51.479699,-0.123689,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"flat "
207500,"1 bed property for sale ","Uxbridge Road, Hatch End, Pinner HA5",51.606934,-0.375738,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"property "
550000,"4 bed semi-detached house for sale ","Rush Green Road, Romford RM7",51.564399,0.169995,2021-09-02,"4","3",NA,"0","1","0","0",4,3,1,"semi-detached house "
330000,"Studio for sale ","Sailors House, New Aberfeldy Village, 16 Deauville Close E14",51.51287,-0.001802,2021-09-02,"0","0","410","1","1","0","0",0,1,1,"Studio "
5e+05,"2 bed maisonette for sale ","Grosvenor Road, Finchley, London N3",51.606623,-0.197077,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"maisonette "
370000,"3 bed terraced house for sale ","Upton Road, Thornton Heath CR7",51.408071,-0.095708,2021-09-02,"3","2",NA,"0","0","2","0",3,2,2,"terraced house "
1625000,"5 bed detached house for sale ","Homefield Road, Coulsdon CR5",51.299027,-0.112571,2021-09-02,"5","2",NA,"0","0","3","0",5,2,3,"detached house "
3e+05,"Studio for sale ","Ripon Court, Royal Quay, 9 Dod Street E14",51.5141,-0.0265,2021-09-02,"0","0","321","1","1","0","0",0,1,1,"Studio "
425000,"1 bed flat for sale ","Finchley Road, London NW3",51.543773,-0.175531,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
675000,"2 bed terraced house for sale ","Ridley Avenue, Ealing W13",51.499963,-0.319651,2021-09-02,"2","2","724","0","0","0","0",2,2,0,"terraced house "
425000,"3 bed semi-detached house for sale ","Avenue Road, Erith DA8",51.4748,0.169201,2021-09-02,"3","0",NA,"1","0","2","0",3,1,2,"semi-detached house "
4200000,"3 bed flat for sale ","Warrington Crescent, Little Venice, London W9",51.52548,-0.183816,2021-09-02,"3","3",NA,"0","0","2","0",3,3,2,"flat "
875000,"4 bed cottage for sale ","Woodcote House, Wrythe Green Road, Carshalton SM5",51.371345,-0.168659,2021-09-02,"4","0",NA,"1","0","3","0",4,1,3,"cottage "
2100000,"5 bed terraced house for sale ","Calthorpe Street, London WC1X",51.525904,-0.114175,2021-09-02,"5","0",NA,"1","1","0","0",5,1,1,"terraced house "
280000,"1 bed flat for sale ","High Street, London E15",51.534179,-0.007061,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
499950,"2 bed flat for sale ","Florence Road, Finsbury Park, London N4",51.570999,-0.10965,2021-09-02,"2","0","507","1","1","0","0",2,1,1,"flat "
1295000,"2 bed flat for sale ","Seymour Walk, Chelsea, London SW10",51.4856,-0.1819,2021-09-02,"2","2","937","0","1","0","0",2,2,1,"flat "
850000,"5 bed semi-detached house for sale ","Pollards Hill North, Norbury SW16",51.404156,-0.122773,2021-09-02,"5","2",NA,"0","0","0","0",5,2,0,"semi-detached house "
3e+05,"1 bed flat for sale ","Gifford Gardens, London W7",51.52293,-0.344969,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
2650000,"2 bed flat for sale ","Wimpole Street, Marylebone, London W1G",51.5195,-0.1486,2021-09-02,"2","2","1,597","0","1","0","0",2,2,1,"flat "
750000,"3 bed semi-detached house for sale ","Moorcroft Way, Pinner HA5",51.586167,-0.38462,2021-09-02,"3","0",NA,"1","0","2","0",3,1,2,"semi-detached house "
895000,"5 bed terraced house for sale ","St Albans Road, Woodford Green, Essex IG8",51.600927,0.021322,2021-09-02,"5","2",NA,"0","0","0","0",5,2,0,"terraced house "
5e+05,"3 bed terraced house for sale ","Dorchester Avenue, Palmers Green, London N13",51.619032,-0.092624,2021-09-02,"3","0",NA,"1","1","0","0",3,1,1,"terraced house "
375000,"1 bed flat for sale ","Hastings Road, London W13",51.513251,-0.314901,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
